threshold,precision,recall,f1,f0_5,accuracy,specificity,balanced_accuracy,tp,fp,fn,tn
0.59,0.8632992972784097,0.7646492434662998,0.8109852836588436,0.8415841584158414,0.7975783614881359,0.8408587570621469,0.8027540002642233,22236,3521,6844,18604
0.6,0.8635939323220537,0.7635144429160935,0.8104763643000548,0.8415327471194664,0.7972073039742212,0.8414915254237288,0.8025029841699112,22203,3507,6877,18618
0.61,0.8641431467331981,0.7622764786795048,0.8100197325147994,0.8416484417714598,0.7969338931744947,0.8424858757062147,0.8023811771928597,22167,3485,6913,18640
0.62,0.8642631147220812,0.760866574965612,0.8092756167590205,0.8413951507407745,0.7963284835465286,0.8429378531073446,0.8019022140364783,22126,3475,6954,18650
0.63,0.8645009784735812,0.7595598349381018,0.8086399414241259,0.8412553321145643,0.7958402499755883,0.8435254237288136,0.8015426293334577,22088,3462,6992,18663
0.64,0.8651733877294837,0.7584250343878954,0.8082899655500989,0.8414855625419694,0.7956840152328875,0.8446553672316384,0.801540200809767,22055,3437,7025,18688
0.65,0.865612959031218,0.7570839064649243,0.8077191180247275,0.8414872798434442,0.7952934283761351,0.8455141242937854,0.8012990153793549,22016,3418,7064,18707
0.66,0.8660731870642455,0.7560866574965612,0.8073512402004884,0.8415883271580366,0.7950786056049214,0.8463276836158192,0.8012071705561903,21987,3400,7093,18725
0.67,0.8663692708538945,0.7546767537826685,0.8066751208395362,0.841461918346063,0.7945708426911434,0.8470056497175141,0.8008412017500913,21946,3385,7134,18740
0.68,0.8670337069750862,0.7527510316368639,0.8058608058608059,0.8414829166282253,0.7940240210916902,0.848271186440678,0.8005111090387709,21890,3357,7190,18768
0.6900000000000001,0.867579908675799,0.7513755158184319,0.8053072883073803,0.8415498382375597,0.7936724929206133,0.8492655367231638,0.8003205262707979,21850,3335,7230,18790
0.7000000000000001,0.8685195508481325,0.7500687757909216,0.8049599586670111,0.8419281126482213,0.7935748462064252,0.8507570621468926,0.8004129189689071,21812,3302,7268,18823
0.71,0.8691488088112056,0.7489683631361761,0.804595578049096,0.8421231711466485,0.7933990821208866,0.8517966101694915,0.8003824866528337,21780,3279,7300,18846
0.72,0.8694591134581533,0.7473521320495186,0.8037946593682965,0.8419466311287422,0.7927936724929207,0.8525197740112994,0.799935953030409,21733,3263,7347,18862
0.73,0.8702722235605879,0.7453576341127923,0.8029859593227874,0.842048421183491,0.7922859095791427,0.8539661016949153,0.7996618679038539,21675,3231,7405,18894
0.74,0.8704352377501309,0.7434319119669877,0.8019363095127696,0.8416778272650823,0.7914461478371253,0.8545536723163841,0.798992792141686,21619,3218,7461,18907
0.75,0.8708817829457365,0.7417469050894085,0.8011439607784876,0.841578750234097,0.7908797968948345,0.855457627118644,0.7986022661040263,21570,3198,7510,18927
0.76,0.8714436248682824,0.7394085281980742,0.8000148826133869,0.8413943150513399,0.7900595644956547,0.856632768361582,0.7980206482798281,21502,3172,7578,18953
0.77,0.872507528281924,0.7373108665749656,0.7992321168971558,0.8416420675794499,0.7896299189532272,0.8583954802259887,0.7978531734004771,21441,3133,7639,18992
0.78,0.8730742511544277,0.734697386519945,0.7979309443334393,0.841380233767052,0.7886729811541842,0.8596158192090395,0.7971566028644923,21365,3106,7715,19019
0.79,0.8739540607054963,0.7327028885832187,0.7971193415637859,0.8415086887835703,0.7881847475832439,0.8611073446327684,0.7969051166079936,21307,3073,7773,19052
0.8,0.8751442704039571,0.730089408528198,0.7960629921259843,0.8416983824928641,0.7875598086124402,0.8630960451977401,0.7965927268629691,21231,3029,7849,19096
0.81,0.8758486504388143,0.727544704264099,0.7948380794950785,0.8415404442181632,0.7867005175275852,0.8644519774011299,0.7959983408326144,21157,2999,7923,19126
0.8200000000000001,0.8764283043171147,0.725343878954608,0.7937607014506933,0.8413776047483805,0.7859388731569182,0.8655819209039548,0.7954628999292814,21093,2974,7987,19151
0.8300000000000001,0.8771549025337062,0.7226272352132049,0.7924279276731339,0.841179107823358,0.7850014647007129,0.8669830508474576,0.7948051430303313,21014,2943,8066,19182
0.84,0.8775630005450963,0.7197042640990371,0.7908330027017325,0.8406841479481989,0.7837906454447808,0.8680225988700565,0.7938634314845467,20929,2920,8151,19205
0.85,0.8785145217721199,0.716678129298487,0.7893869666496222,0.8405527054496178,0.7828141783029001,0.8697401129943503,0.7932091211464186,20841,2882,8239,19243
0.86,0.8793995420235773,0.7131361760660248,0.7875887736888079,0.8402210553610786,0.7815447710184552,0.871457627118644,0.7922969015923345,20738,2844,8342,19281
0.87,0.8802849950936473,0.709525447042641,0.7857346864944115,0.8398596502653944,0.7802363050483351,0.8731751412429378,0.7913502941427895,20633,2806,8447,19319
0.88,0.8813566607918153,0.7050550206327373,0.7834094339262174,0.8393787050076965,0.7785958402499756,0.8752542372881356,0.7901546289604364,20503,2760,8577,19365
0.89,0.8829879476285442,0.7003782668500688,0.7811529168104936,0.8392256724683544,0.7771311395371546,0.8780112994350282,0.7891947831425485,20367,2699,8713,19426
0.9,0.8844890271146348,0.6943603851444292,0.7779768440925465,0.8385660653177845,0.7749243237965042,0.8808135593220339,0.7875869722332316,20192,2637,8888,19488
0.91,0.8860333215171925,0.6876203576341128,0.7743184634448576,0.8376901937127155,0.7723659798847768,0.8837514124293785,0.7856858850317456,19996,2572,9084,19553
0.92,0.8880848577464155,0.6794704264099037,0.76989616006546,0.8367068667637791,0.7693389317449468,0.8874576271186441,0.7834640267642738,19759,2490,9321,19635
0.93,0.8899409908055441,0.6690165061898212,0.7638248169450934,0.8348065634547389,0.7650424763206718,0.8912542372881356,0.7801353717389784,19455,2406,9625,19719
0.9400000000000001,0.8931082981715893,0.6550894085281981,0.7558024201547312,0.8326048951048951,0.7595937896689776,0.8969491525423728,0.7760192805352855,19050,2280,10030,19845
0.9500000000000001,0.8969590472006639,0.6319119669876203,0.7414610527165251,0.8275389991713803,0.7497314715359829,0.9045875706214689,0.7682497688045447,18376,2111,10704,20014
0.96,0.9037795191641346,0.5830123796423659,0.7087940801438156,0.8141880210534403,0.7279367249292061,0.9184180790960452,0.7507152293692055,16954,1805,12126,20320
0.97,0.9120431958682212,0.40079092159559837,0.5568694904321652,0.7266571898847823,0.6377502197051069,0.9491977401129944,0.6749943308542964,11655,1124,17425,21001
0.98,0.9162027541752125,0.10753094910591472,0.1924722247868772,0.36588505101563235,0.487569573283859,0.9870734463276836,0.5473021977167991,3127,286,25953,21839
0.99,0.9693053311793215,0.02063273727647868,0.04040540085524765,0.09506908353403472,0.44343325847085246,0.9991412429378531,0.5098869901071659,600,19,28480,22106
1.0,0.0,0.0,0.0,0.0,0.432086710282199,1.0,0.5,0,0,29080,22125
