threshold,precision,recall,f1,f0_5,accuracy,specificity,balanced_accuracy,tp,fp,fn,tn
0.67,0.8653256704980843,0.767675050985724,0.8135806916426512,0.8438574204154835,0.7978713016307001,0.8386504475556575,0.8031627492706908,4517,703,1367,3654
0.68,0.8654399079930994,0.7673351461590755,0.813440230609855,0.8438621411483254,0.7977736549165121,0.8388799632774845,0.80310755471828,4515,702,1369,3655
0.6900000000000001,0.8659121427201227,0.7671651937457512,0.8135532125799766,0.84418013165769,0.7979689483448882,0.8395685104429653,0.8033668520943582,4514,699,1370,3658
0.7000000000000001,0.8663337814480507,0.7666553365057783,0.8134523487512397,0.8443770589997004,0.7979689483448882,0.8402570576084462,0.8034561970571122,4511,696,1373,3661
0.71,0.8668332052267487,0.7666553365057783,0.8136724386724385,0.8447565543071163,0.7982618884874524,0.840945604773927,0.8038004706398527,4511,693,1373,3664
0.72,0.8666281755196305,0.7652957171991842,0.8128158844765343,0.8442702864856758,0.7974807147739479,0.840945604773927,0.8031206609865555,4503,693,1381,3664
0.73,0.8666923521479484,0.7646159075458872,0.8124604966139954,0.8441534073851696,0.7971877746313837,0.8411751204957539,0.8028955140208205,4499,692,1385,3665
0.74,0.866988416988417,0.763256288239293,0.811822125813449,0.8440460081190798,0.7966995410604433,0.8418636676612348,0.8025599779502639,4491,689,1393,3668
0.75,0.8676470588235294,0.7620666213460231,0.8114368440101339,0.8442536526585328,0.7965042476320672,0.8430112462703695,0.8025389338081963,4484,684,1400,3673
0.76,0.8678550668475101,0.7612168592794017,0.8110457220461748,0.8442023522316042,0.796211307489503,0.8434702777140234,0.8023435684967126,4479,682,1405,3675
0.77,0.8681297339289182,0.7596872875594833,0.8102963835765431,0.8440332326283988,0.7956254272043746,0.8441588248795042,0.8019230562194938,4470,679,1414,3678
0.78,0.8681703286019833,0.758837525492862,0.8098304162510203,0.8438539461747807,0.7952348403476223,0.8443883406013312,0.8016129330470966,4465,678,1419,3679
0.79,0.8693702476116202,0.7578178110129163,0.8097702714973213,0.8445075757575758,0.7954301337759985,0.8462244663759467,0.8020211386944316,4459,670,1425,3687
0.8,0.8699648025029332,0.7561182868796736,0.8090561920349155,0.8445330296127563,0.7949419002050581,0.8473720449850815,0.8017451659323775,4449,665,1435,3692
0.81,0.8700764256319812,0.7545887151597552,0.8082279057067443,0.8442348646181927,0.7942583732057417,0.8478310764287353,0.8012098957942453,4440,663,1444,3694
